city,iataCode, Airport name, Location, Country,isInternational
ADI Arandis Airport,ADI,Arandis Airport,Arandis / Swakopmund,Namibia,
APX Arapongas Airport,APX,Arapongas Airport,"Arapongas, Paraná",Brazil,
BCV Belmopan Airport,BCV,Belmopan Airport,Belmopan,Belize,
BNF Warm Springs Bay Seaplane Base,BNF,Warm Springs Bay Seaplane Base,"Baranof, Alaska",United States,
BZB Bazaruto Island Airport,BZB,Bazaruto Island Airport,Bazaruto Island,Mozambique,
CKY Gbessia Airport,CKY,Gbessia Airport,Conakry,Guinea,
CXB Cox's Bazar Airport,CXB,Cox's Bazar Airport,Cox's Bazar,Bangladesh,
DRM Drama Airport,DRM,Drama Airport,Drama,Greece,
ERU Erume Airport,ERU,Erume Airport,Erume,Papua New Guinea,
FTW Fort Worth Meacham International Airport,FTW,Fort Worth Meacham International Airport,"Fort Worth, Texas",United States,YES
GRG Gardez Airport,GRG,Gardez Airport,Gardez,Afghanistan,
HLN Helena Regional Airport,HLN,Helena Regional Airport,"Helena, Montana",United States,
ILF Ilford Airport,ILF,Ilford Airport,"Ilford, Manitoba",Canada,
JIN Jinja Airport,JIN,Jinja Airport,Jinja,Uganda,
KGK Koliganek Airport,KGK,Koliganek Airport,"Koliganek, Alaska",United States,
KSY Kars Airport,KSY,Kars Airport,Kars,Turkey,
LGY Lagunillas Airport,LGY,Lagunillas Airport,"Lagunillas, Zulia",Venezuela,
LVA Laval Entrammes Airport,LVA,Laval Entrammes Airport,Laval,France,
MIA Miami International Airport,MIA,Miami International Airport,"Miami, Florida",United States,YES
MTG Mato Grosso Airport,MTG,Mato Grosso Airport,Mato Grosso,Brazil,
NNL Nondalton Airport,NNL,Nondalton Airport,"Nondalton, Alaska",United States,
OVE Oroville Municipal Airport,OVE,Oroville Municipal Airport,"Oroville, California",United States,
PSG Petersburg James A.Johnson Airport,PSG,Petersburg James A.Johnson Airport,"Petersburg, Alaska",United States,
RMP Rampart Airport,RMP,Rampart Airport,"Rampart, Alaska",United States,
SKP Skopje Airport,SKP,Skopje Airport,Skopje,Macedonia,
TAM General Francisco Javier Mina International Airport,TAM,General Francisco Javier Mina International Airport,"Tampico, Tamaulipas",Mexico,YES
TWT Sanga-Sanga Airport,TWT,Sanga-Sanga Airport,"Bongao, Tawi-Tawi",Philippines,
VXO Växjö Airport (Kronoberg Airport),VXO,Växjö Airport (Kronoberg Airport),Växjö,Sweden,
YBE Uranium City Airport,YBE,Uranium City Airport,"Uranium City, Saskatchewan",Canada,
YPW Powell River Airport,YPW,Powell River Airport,"Powell River, British Columbia",Canada,
ZOS Cañal Bajo Carlos Hott Siebert Airport,ZOS,Cañal Bajo Carlos Hott Siebert Airport,Osorno,Chile,
ADJ Marka International Airport,ADJ,Marka International Airport,Amman,Jordan,YES
APY Alto Parnaíba Airport,APY,Alto Parnaíba Airport,"Alto Parnaíba, Maranhão",Brazil,
BCW Benguera Island Airport,BCW,Benguera Island Airport,Benguera Island,Mozambique,
BNG Banning Municipal Airport,BNG,Banning Municipal Airport,"Banning, California",United States,
BZC Umberto Modiano Airport,BZC,Umberto Modiano Airport,"Búzios, Rio de Janeiro",Brazil,
CKZ Çanakkale Airport,CKZ,Çanakkale Airport,Çanakkale,Turkey,
CXC Chitina Airport,CXC,Chitina Airport,"Chitina, Alaska",United States,
DRN Dirranbandi Airport,DRN,Dirranbandi Airport,"Dirranbandi, Queensland",Australia,
ERV Kerrville Municipal Airport (Louis Schreiner Field),ERV,Kerrville Municipal Airport (Louis Schreiner Field),"Kerrville, Texas",United States,
FTX Owando Airport,FTX,Owando Airport,Owando,Republic of the Congo,
GRH Garuahi Airport,GRH,Garuahi Airport,Garuahi,Papua New Guinea,
HLO Ingjaldssanður Airport (Ingjaldssandur),HLO,Ingjaldssanður Airport (Ingjaldssandur),Onundarfjörður,Iceland,
ILG New Castle Airport,ILG,New Castle Airport,"Wilmington, Delaware",United States,
JIO Ontario International Heliport,JIO,Ontario International Heliport,"Ontario, California",United States,YES
KGL Kigali International Airport (Kanombe Airport),KGL,Kigali International Airport (Kanombe Airport),Kigali,Rwanda,YES
KSZ Kotlas Airport,KSZ,Kotlas Airport,"Kotlas, Arkhangelsk Oblast",Russia,
LGZ Leguizamo Airport,LGZ,Leguizamo Airport,Puerto Leguizamo,Colombia,
LVB Dos Galpoes Airport,LVB,Dos Galpoes Airport,"Santana DO Livramento, Rio Grande DO Sul",Brazil,
MIB Minot Air FORCE Base,MIB,Minot Air FORCE Base,"Minot, North Dakota",United States,
MTH Florida KEYS Marathon Airport,MTH,Florida KEYS Marathon Airport,"Marathon, Florida",United States,
NNM Naryan-Mar Airport,NNM,Naryan-Mar Airport,"Naryan - Mar, Nenets Autonomous Okrug",Russia,
OVL Olivia Regional Airport,OVL,Olivia Regional Airport,"Olivia, Minnesota",United States,
PSK New River Valley Airport,PSK,New River Valley Airport,"Dublin, Virginia",United States,
RMQ Taichung Ching Chuan Kang Airport,RMQ,Taichung Ching Chuan Kang Airport,"Taichung, Taiwan",Taiwan,
SKS Skrydstrup Airport,SKS,Skrydstrup Airport,Vojens,Denmark,
TAN Tangalooma Airport,TAN,Tangalooma Airport,"Tangalooma, Queensland",Australia,
TWU Tawau Airport,TWU,Tawau Airport,"Tawau, Sabah",Malaysia,
VYD Vryheid Airport,VYD,Vryheid Airport,Vryheid,South Africa,
YBF Bamfield Water Aerodrome,YBF,Bamfield Water Aerodrome,"Bamfield, British Columbia",Canada,
YPX Puvirnituq Airport,YPX,Puvirnituq Airport,"Puvirnituq, Quebec",Canada,
ZPB Sachigo Lake Airport,ZPB,Sachigo Lake Airport,"Sachigo Lake, Ontario",Canada,
ADK Adak Island Airport,ADK,Adak Island Airport,"Adak Island, Alaska",United States,
APZ Zapala Airport,APZ,Zapala Airport,"Zapala, Neuquén",Argentina,
BCX Beloretsk Airport,BCX,Beloretsk Airport,Beloretsk,Russia,
BNI Benin City Airport,BNI,Benin City Airport,Benin City,Nigeria,
BZD Balranald Airport,BZD,Balranald Airport,"Balranald, New South Wales",Australia,
CLA Comilla Airport,CLA,Comilla Airport,Comilla,Bangladesh,
CXF Coldfoot Airport,CXF,Coldfoot Airport,"Coldfoot, Alaska",United States,
DRO Durango-La Plata County Airport,DRO,Durango-La Plata County Airport,"Durango, Colorado",United States,
ERZ Erzurum Airport,ERZ,Erzurum Airport,Erzurum,Turkey,
FTY Fulton County Airport (Brown Field),FTY,Fulton County Airport (Brown Field),"Atlanta, Georgia",United States,
