id,city,country_id,lat,lng,population,,country,,,,,,,,,,,,,,,,,,
222,Liverpool,188,53.4,-2.9833,864122,,United Kingdom,,,,,,,,,,,,,,,,,,
223,Lydd,188,50.9509,0.9064,6567,,United Kingdom,,,,,,,,,,,,,,,,,,
224,Leeds,188,53.7997,-1.5492,1901934,,United Kingdom,,,,,,,,,,,,,,,,,,
225,London,188,51.5072,-0.1275,10979000,,United Kingdom,,,,,,,,,,,,,,,,,,
226,Luebeck,65,53.866444,10.684738,#N/A,,Germany,,,,,,,,,,,,,,,,,,
227,Lanzarote,166,29.013,-13.634,#N/A,,Spain,,,,,,,,,,,,,,,,,,
228,Las Palmas de Gran Canaria,166,28.09973,-15.41343,#N/A,,Spain,,,,,,,,,,,,,,,,,,
230,Lamezia Terme,84,38.9645069,16.3021451,#N/A,,Italy,,,,,,,,,,,,,,,,,,
231,Larnaca,44,34.9233,33.6305,48947,,Cyprus,,,,,,,,,,,,,,,,,,
232,Liepaja,95,56.5083,21.0111,69443,,Latvia,,,,,,,,,,,,,,,,,,
233,Luxembourg,102,49.6106,6.1328,122273,,Luxembourg,,,,,,,,,,,,,,,,,,
235,Lisbon,142,38.7452,-9.1604,506654,,Portugal,,,,,,,,,,,,,,,,,,
236,Ljubljana,160,46.05,14.5167,284355,,Slovenia,,,,,,,,,,,,,,,,,,
237,Lappeenranta,60,61.0583,28.1861,72875,,Finland,,,,,,,,,,,,,,,,,,
238,Le Touquet,61,43.8661271,0.3045809,#N/A,,France,,,,,,,,,,,,,,,,,,
239,Lille,61,50.6278,3.0583,232787,,France,,,,,,,,,,,,,,,,,,
240,Lyon,61,45.76,4.84,516092,,France,,,,,,,,,,,,,,,,,,
241,Lugano,171,46.0103,8.9625,63185,,Switzerland,,,,,,,,,,,,,,,,,,
242,Lulea,170,65.5831187,22.1459535,#N/A,,Sweden,,,,,,,,,,,,,,,,,,
243,Manchester,188,53.4794,-2.2453,2705000,,United Kingdom,,,,,,,,,,,,,,,,,,
244,Mannheim,65,49.4878,8.4661,309370,,Germany,,,,,,,,,,,,,,,,,,
245,Memmingen,65,47.9878,10.1811,43837,,Germany,,,,,,,,,,,,,,,,,,
246,Muenster,65,51.9625101,7.6251879,#N/A,,Germany,,,,,,,,,,,,,,,,,,
247,Munich,65,48.1372,11.5755,1471508,,Germany,,,,,,,,,,,,,,,,,,
248,Madrid,166,40.4189,-3.6919,3266126,,Spain,,,,,,,,,,,,,,,,,,
249,Malaga,166,36.7213028,-4.4216366,#N/A,,Spain,,,,,,,,,,,,,,,,,,
250,Mahon,82,51.8922026,-8.4042476,#N/A,,Ireland,,,,,,,,,,,,,,,,,,
251,Murcia,166,37.9866,-1.1415,406807,,Spain,,,,,,,,,,,,,,,,,,
252,Milan,84,45.4669,9.19,1351562,,Italy,,,,,,,,,,,,,,,,,,
253,Malta,108,42.9853,-73.7879,15620,,Malta,,,,,,,,,,,,,,,,,,
254,Monte Carlo,115,43.7402961,7.426559,#N/A,,Monaco,,,,,,,,,,,,,,,,,,
255,Maastricht,124,50.853,5.677,122378,,Netherlands,,,,,,,,,,,,,,,,,,
257,Milas,182,37.2745504,27.8085702,#N/A,,Turkey,,,,,,,,,,,,,,,,,,
259,Marseille,61,43.2964,5.37,870018,,France,,,,,,,,,,,,,,,,,,
260,Metz,61,49.1203,6.1778,391187,,France,,,,,,,,,,,,,,,,,,
261,Montpellier,61,43.6119,3.8772,607896,,France,,,,,,,,,,,,,,,,,,
262,Malmo,170,55.6052931,13.0001566,#N/A,,Sweden,,,,,,,,,,,,,,,,,,
263,Norwich,188,52.63,1.297,213166,,United Kingdom,,,,,,,,,,,,,,,,,,
264,Newcastle,188,55.0077,-1.6578,1650000,,United Kingdom,,,,,,,,,,,,,,,,,,
265,Newquay,188,50.412,-5.0757,20342,,United Kingdom,,,,,,,,,,,,,,,,,,
266,Nuremberg,65,49.4528,11.0778,518365,,Germany,,,,,,,,,,,,,,,,,,
267,Naples,84,40.8333,14.25,972212,,Italy,,,,,,,,,,,,,,,,,,
268,Constanta,144,44.1733,28.6383,283872,,Romania,,,,,,,,,,,,,,,,,,
269,Nantes,61,47.2181,-1.5528,633690,,France,,,,,,,,,,,,,,,,,,
270,Nice,61,43.7034,7.2663,1006402,,France,,,,,,,,,,,,,,,,,,
271,Norrkoping,170,58.5909124,16.1903511,#N/A,,Sweden,,,,,,,,,,,,,,,,,,
272,Ostend,17,51.2258565,2.919496,#N/A,,Belgium,,,,,,,,,,,,,,,,,,
273,Alderney,188,49.72837,-2.2254277,#N/A,,United Kingdom,,,,,,,,,,,,,,,,,,
274,Oviedo,166,43.3634,-5.8423,189434,,Spain,,,,,,,,,,,,,,,,,,
275,Olbia,84,40.9143,9.5151,45366,,Italy,,,,,,,,,,,,,,,,,,
276,Ohrid,130,41.1169,20.8019,55749,,North Macedonia,,,,,,,,,,,,,,,,,,
277,Oslo,131,59.9111,10.7528,693494,,Norway,,,,,,,,,,,,,,,,,,
279,Ostrava,45,49.8356,18.2925,287968,,Czech Republic,,,,,,,,,,,,,,,,,,
280,Plovdiv,26,42.1433,24.7489,384088,,Bulgaria,,,,,,,,,,,,,,,,,,
281,Plymouth,188,50.3714,-4.1422,267918,,United Kingdom,,,,,,,,,,,,,,,,,,
282,Paderborn,65,51.7167,8.7667,150580,,Germany,,,,,,,,,,,,,,,,,,
283,Rostock,65,54.0833,12.1333,208886,,Germany,,,,,,,,,,,,,,,,,,
284,Palma Majorca,166,39.568631,2.6482482,#N/A,,Spain,,,,,,,,,,,,,,,,,,
285,Palermo,84,38.1157,13.3613,674435,,Italy,,,,,,,,,,,,,,,,,,
286,Pescara,84,42.4643,14.2142,120286,,Italy,,,,,,,,,,,,,,,,,,
287,Pisa,84,43.7167,10.4,89745,,Italy,,,,,,,,,,,,,,,,,,
288,Paphos,44,34.7761,32.4265,35961,,Cyprus,,,,,,,,,,,,,,,,,,
289,Palanga,101,55.9167,21.0639,15381,,Lithuania,,,,,,,,,,,,,,,,,,
290,Ponta Delgada,142,37.74,-25.67,68809,,Portugal,,,,,,,,,,,,,,,,,,
291,Porto,142,41.1495,-8.6108,237591,,Portugal,,,,,,,,,,,,,,,,,,
292,Poprad,159,49.05,20.3,52037,,Slovakia,,,,,,,,,,,,,,,,,,
293,Paris,61,48.8566,2.3522,11020000,,France,,,,,,,,,,,,,,,,,,
294,Pula,42,44.8667,13.8333,57053,,Croatia,,,,,,,,,,,,,,,,,,
295,Podgorica,117,42.4397,19.2661,174515,,Montenegro,,,,,,,,,,,,,,,,,,
296,Pardubice,45,50.0386,15.7792,91727,,Czech Republic,,,,,,,,,,,,,,,,,,
297,Prague,45,50.0833,14.4167,1324277,,Czech Republic,,,,,,,,,,,,,,,,,,
298,Parnu,56,58.3844,24.4989,39438,,Estonia,,,,,,,,,,,,,,,,,,
299,Rhodes,67,36.4412,28.2225,56969,,Greece,,,,,,,,,,,,,,,,,,
300,Reykjavik,77,64.145981,-21.9422367,#N/A,,Iceland,,,,,,,,,,,,,,,,,,
301,Reus,166,41.1555564,1.1076133,#N/A,,Spain,,,,,,,,,,,,,,,,,,
302,Rijeka,42,45.3297,14.4322,128624,,Croatia,,,,,,,,,,,,,,,,,,
303,Rome,84,41.8931,12.4828,2872800,,Italy,,,,,,,,,,,,,,,,,,
304,Rimini,84,44.0594,12.5683,149403,,Italy,,,,,,,,,,,,,,,,,,
305,Riga,95,56.9475,24.1069,698529,,Latvia,,,,,,,,,,,,,,,,,,
306,Rotterdam,124,51.92,4.48,1005000,,Netherlands,,,,,,,,,,,,,,,,,,
307,Ronneby,170,56.3,15.283333,#N/A,,Sweden,,,,,,,,,,,,,,,,,,
308,Salzburg,10,47.7972,13.0477,154076,,Austria,,,,,,,,,,,,,,,,,,
309,Sofia,26,42.6975,23.3241,1355142,,Bulgaria,,,,,,,,,,,,,,,,,,
310,Sarajevo,22,43.8667,18.4167,275524,,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,
311,Southampton,188,50.9,-1.4,855569,,United Kingdom,,,,,,,,,,,,,,,,,,
312,Swansea,188,41.7571,-71.212,16462,,United Kingdom,,,,,,,,,,,,,,,,,,
313,Shoreham,188,50.8322307,-0.2746717,#N/A,,United Kingdom,,,,,,,,,,,,,,,,,,
314,Poznan,141,52.4,16.9167,538633,,Poland,,,,,,,,,,,,,,,,,,
315,Saarbruecken,65,49.234362,6.996379,#N/A,,Germany,,,,,,,,,,,,,,,,,,
316,Stuttgart,65,48.7761,9.1775,634830,,Germany,,,,,,,,,,,,,,,,,,
